instance,algorithm,seed,threshold_pct,fe_to_threshold
pr76,GA,11,15,40000
pr76,GA,11,10,47000
pr76,GA,11,5,750000
pr76,GA,12,15,31000
pr76,GA,12,10,34000
pr76,GA,12,5,750000
pr76,GA,13,15,44000
pr76,GA,13,10,62000
pr76,GA,13,5,750000
pr76,GA,14,15,45000
pr76,GA,14,10,58000
pr76,GA,14,5,750000
pr76,GA,15,15,56000
pr76,GA,15,10,63000
pr76,GA,15,5,750000
pr76,GA,16,15,37000
pr76,GA,16,10,39000
pr76,GA,16,5,750000
pr76,GA,17,15,30000
pr76,GA,17,10,38000
pr76,GA,17,5,750000
pr76,GA,18,15,38000
pr76,GA,18,10,60000
pr76,GA,18,5,750000
pr76,GA,19,15,31000
pr76,GA,19,10,37000
pr76,GA,19,5,750000
pr76,GA,20,15,30000
pr76,GA,20,10,41000
pr76,GA,20,5,750000
pr76,GA,21,15,26000
pr76,GA,21,10,30000
pr76,GA,21,5,34000
pr76,GA,22,15,40000
pr76,GA,22,10,49000
pr76,GA,22,5,57000
pr76,GA,23,15,27000
pr76,GA,23,10,36000
pr76,GA,23,5,43000
pr76,GA,24,15,41000
pr76,GA,24,10,44000
pr76,GA,24,5,750000
pr76,GA,25,15,37000
pr76,GA,25,10,750000
pr76,GA,25,5,750000
pr76,GA,26,15,30000
pr76,GA,26,10,34000
pr76,GA,26,5,48000
pr76,GA,27,15,41000
pr76,GA,27,10,44000
pr76,GA,27,5,58000
pr76,GA,28,15,32000
pr76,GA,28,10,36000
pr76,GA,28,5,42000
pr76,GA,29,15,34000
pr76,GA,29,10,45000
pr76,GA,29,5,750000
pr76,SA,0,15,157000
pr76,SA,0,10,164000
pr76,SA,0,5,168000
pr76,SA,1,15,151000
pr76,SA,1,10,160000
pr76,SA,1,5,176000
pr76,SA,2,15,162000
pr76,SA,2,10,164000
pr76,SA,2,5,180000
pr76,SA,3,15,154000
pr76,SA,3,10,167000
pr76,SA,3,5,176000
pr76,SA,4,15,149000
pr76,SA,4,10,161000
pr76,SA,4,5,185000
pr76,SA,5,15,164000
pr76,SA,5,10,165000
pr76,SA,5,5,193000
pr76,SA,6,15,158000
pr76,SA,6,10,165000
pr76,SA,6,5,190000
pr76,SA,7,15,153000
pr76,SA,7,10,161000
pr76,SA,7,5,172000
pr76,SA,8,15,158000
pr76,SA,8,10,164000
pr76,SA,8,5,180000
pr76,SA,9,15,153000
pr76,SA,9,10,169000
pr76,SA,9,5,171000
pr76,SA,10,15,163000
pr76,SA,10,10,166000
pr76,SA,10,5,172000
pr76,SA,11,15,148000
pr76,SA,11,10,171000
pr76,SA,11,5,177000
pr76,SA,12,15,160000
pr76,SA,12,10,161000
pr76,SA,12,5,204000
pr76,SA,13,15,158000
pr76,SA,13,10,159000
pr76,SA,13,5,183000
pr76,SA,14,15,160000
pr76,SA,14,10,161000
pr76,SA,14,5,181000
pr76,SA,15,15,143000
pr76,SA,15,10,162000
pr76,SA,15,5,165000
pr76,SA,16,15,161000
pr76,SA,16,10,167000
pr76,SA,16,5,181000
pr76,SA,17,15,166000
pr76,SA,17,10,182000
pr76,SA,17,5,213000
pr76,SA,18,15,152000
pr76,SA,18,10,152000
pr76,SA,18,5,163000
pr76,SA,19,15,157000
pr76,SA,19,10,168000
pr76,SA,19,5,176000
pr76,SA,20,15,156000
pr76,SA,20,10,166000
pr76,SA,20,5,185000
pr76,SA,21,15,160000
pr76,SA,21,10,162000
pr76,SA,21,5,174000
pr76,SA,22,15,157000
pr76,SA,22,10,161000
pr76,SA,22,5,168000
pr76,SA,23,15,154000
pr76,SA,23,10,160000
pr76,SA,23,5,185000
pr76,SA,24,15,155000
pr76,SA,24,10,159000
pr76,SA,24,5,170000
pr76,SA,25,15,145000
pr76,SA,25,10,154000
pr76,SA,25,5,168000
pr76,SA,26,15,158000
pr76,SA,26,10,162000
pr76,SA,26,5,190000
pr76,SA,27,15,150000
pr76,SA,27,10,152000
pr76,SA,27,5,176000
pr76,SA,28,15,153000
pr76,SA,28,10,158000
pr76,SA,28,5,171000
pr76,SA,29,15,149000
pr76,SA,29,10,159000
pr76,SA,29,5,169000
kroA100,GA,0,15,86000
kroA100,GA,0,10,1000000
kroA100,GA,0,5,1000000
kroA100,GA,1,15,71000
kroA100,GA,1,10,80000
kroA100,GA,1,5,1000000
kroA100,GA,2,15,63000
kroA100,GA,2,10,74000
kroA100,GA,2,5,1000000
kroA100,GA,3,15,62000
kroA100,GA,3,10,146000
kroA100,GA,3,5,1000000
kroA100,GA,4,15,80000
kroA100,GA,4,10,88000
kroA100,GA,4,5,1000000
kroA100,GA,5,15,81000
kroA100,GA,5,10,1000000
kroA100,GA,5,5,1000000
kroA100,GA,6,15,57000
kroA100,GA,6,10,72000
kroA100,GA,6,5,104000
kroA100,GA,7,15,74000
kroA100,GA,7,10,1000000
kroA100,GA,7,5,1000000
kroA100,GA,8,15,78000
kroA100,GA,8,10,120000
kroA100,GA,8,5,1000000
kroA100,GA,9,15,59000
kroA100,GA,9,10,70000
kroA100,GA,9,5,1000000
kroA100,GA,10,15,78000
kroA100,GA,10,10,1000000
kroA100,GA,10,5,1000000
kroA100,GA,11,15,81000
kroA100,GA,11,10,116000
kroA100,GA,11,5,1000000
kroA100,GA,12,15,73000
kroA100,GA,12,10,1000000
kroA100,GA,12,5,1000000
kroA100,GA,13,15,92000
kroA100,GA,13,10,129000
kroA100,GA,13,5,1000000
kroA100,GA,14,15,53000
kroA100,GA,14,10,60000
kroA100,GA,14,5,1000000
kroA100,GA,15,15,75000
kroA100,GA,15,10,91000
kroA100,GA,15,5,1000000
kroA100,GA,16,15,57000
kroA100,GA,16,10,75000
kroA100,GA,16,5,1000000
kroA100,GA,17,15,65000
kroA100,GA,17,10,130000
kroA100,GA,17,5,1000000
kroA100,GA,18,15,77000
kroA100,GA,18,10,118000
kroA100,GA,18,5,1000000
kroA100,GA,19,15,53000
kroA100,GA,19,10,68000
kroA100,GA,19,5,1000000
kroA100,GA,20,15,69000
kroA100,GA,20,10,1000000
kroA100,GA,20,5,1000000
kroA100,GA,21,15,57000
kroA100,GA,21,10,68000
kroA100,GA,21,5,117000
kroA100,GA,22,15,54000
kroA100,GA,22,10,80000
kroA100,GA,22,5,105000
kroA100,GA,23,15,51000
kroA100,GA,23,10,58000
kroA100,GA,23,5,70000
kroA100,GA,24,15,55000
kroA100,GA,24,10,1000000
kroA100,GA,24,5,1000000
kroA100,GA,25,15,53000
kroA100,GA,25,10,78000
kroA100,GA,25,5,1000000
kroA100,GA,26,15,78000
kroA100,GA,26,10,1000000
kroA100,GA,26,5,1000000
kroA100,GA,27,15,80000
kroA100,GA,27,10,1000000
kroA100,GA,27,5,1000000
kroA100,GA,28,15,77000
kroA100,GA,28,10,90000
kroA100,GA,28,5,123000
kroA100,GA,29,15,92000
kroA100,GA,29,10,131000
kroA100,GA,29,5,1000000
kroA100,SA,0,15,262000
kroA100,SA,0,10,265000
kroA100,SA,0,5,271000
kroA100,SA,1,15,257000
kroA100,SA,1,10,265000
kroA100,SA,1,5,283000
kroA100,SA,2,15,258000
kroA100,SA,2,10,267000
kroA100,SA,2,5,284000
kroA100,SA,3,15,253000
kroA100,SA,3,10,265000
kroA100,SA,3,5,269000
kroA100,SA,4,15,262000
kroA100,SA,4,10,289000
kroA100,SA,4,5,321000
kroA100,SA,5,15,264000
kroA100,SA,5,10,270000
kroA100,SA,5,5,276000
kroA100,SA,6,15,260000
kroA100,SA,6,10,282000
kroA100,SA,6,5,1000000
kroA100,SA,7,15,257000
kroA100,SA,7,10,281000
kroA100,SA,7,5,313000
kroA100,SA,8,15,245000
kroA100,SA,8,10,269000
kroA100,SA,8,5,276000
kroA100,SA,9,15,274000
kroA100,SA,9,10,276000
kroA100,SA,9,5,305000
kroA100,SA,10,15,260000
kroA100,SA,10,10,263000
kroA100,SA,10,5,292000
kroA100,SA,11,15,261000
kroA100,SA,11,10,278000
kroA100,SA,11,5,301000
kroA100,SA,12,15,262000
kroA100,SA,12,10,279000
kroA100,SA,12,5,287000
kroA100,SA,13,15,258000
kroA100,SA,13,10,265000
kroA100,SA,13,5,287000
kroA100,SA,14,15,274000
kroA100,SA,14,10,290000
kroA100,SA,14,5,1000000
kroA100,SA,15,15,254000
kroA100,SA,15,10,273000
kroA100,SA,15,5,285000
kroA100,SA,16,15,241000
kroA100,SA,16,10,252000
kroA100,SA,16,5,310000
kroA100,SA,17,15,256000
kroA100,SA,17,10,285000
kroA100,SA,17,5,287000
kroA100,SA,18,15,251000
kroA100,SA,18,10,268000
kroA100,SA,18,5,312000
kroA100,SA,19,15,245000
kroA100,SA,19,10,266000
kroA100,SA,19,5,275000
kroA100,SA,20,15,254000
kroA100,SA,20,10,261000
kroA100,SA,20,5,322000
kroA100,SA,21,15,263000
kroA100,SA,21,10,278000
kroA100,SA,21,5,294000
kroA100,SA,22,15,277000
kroA100,SA,22,10,292000
kroA100,SA,22,5,299000
kroA100,SA,23,15,256000
kroA100,SA,23,10,258000
kroA100,SA,23,5,312000
kroA100,SA,24,15,268000
kroA100,SA,24,10,278000
kroA100,SA,24,5,294000
kroA100,SA,25,15,258000
kroA100,SA,25,10,274000
kroA100,SA,25,5,294000
kroA100,SA,26,15,272000
kroA100,SA,26,10,274000
kroA100,SA,26,5,300000
kroA100,SA,27,15,275000
kroA100,SA,27,10,281000
kroA100,SA,27,5,285000
kroA100,SA,28,15,258000
kroA100,SA,28,10,260000
kroA100,SA,28,5,292000
kroA100,SA,29,15,252000
kroA100,SA,29,10,258000
kroA100,SA,29,5,295000
d198,GA,0,15,153000
d198,GA,0,10,210000
d198,GA,0,5,345000
d198,GA,1,15,142000
d198,GA,1,10,207000
d198,GA,1,5,1919000
d198,GA,2,15,168000
d198,GA,2,10,208000
d198,GA,2,5,2000000
d198,GA,3,15,151000
d198,GA,3,10,226000
d198,GA,3,5,942000
d198,GA,4,15,156000
d198,GA,4,10,204000
d198,GA,4,5,2000000
d198,GA,5,15,153000
d198,GA,5,10,217000
d198,GA,5,5,436000
d198,GA,6,15,124000
d198,GA,6,10,151000
d198,GA,6,5,326000
d198,GA,7,15,127000
d198,GA,7,10,168000
d198,GA,7,5,275000
d198,GA,8,15,149000
d198,GA,8,10,211000
d198,GA,8,5,2000000
d198,GA,9,15,168000
d198,GA,9,10,200000
d198,GA,9,5,2000000
d198,GA,10,15,153000
d198,GA,10,10,200000
d198,GA,10,5,267000
d198,GA,11,15,151000
d198,GA,11,10,198000
d198,GA,11,5,453000
d198,GA,12,15,159000
d198,GA,12,10,244000
d198,GA,12,5,2000000
d198,GA,13,15,157000
d198,GA,13,10,234000
d198,GA,13,5,2000000
d198,GA,14,15,139000
d198,GA,14,10,194000
d198,GA,14,5,303000
d198,GA,15,15,150000
d198,GA,15,10,219000
d198,GA,15,5,2000000
d198,GA,16,15,167000
d198,GA,16,10,201000
d198,GA,16,5,2000000
d198,GA,17,15,175000
d198,GA,17,10,210000
d198,GA,17,5,2000000
d198,GA,18,15,136000
d198,GA,18,10,169000
d198,GA,18,5,357000
d198,GA,19,15,165000
d198,GA,19,10,221000
d198,GA,19,5,2000000
d198,GA,20,15,155000
d198,GA,20,10,201000
d198,GA,20,5,2000000
d198,GA,21,15,159000
d198,GA,21,10,190000
d198,GA,21,5,2000000
d198,GA,22,15,149000
d198,GA,22,10,183000
d198,GA,22,5,334000
d198,GA,23,15,127000
d198,GA,23,10,171000
d198,GA,23,5,2000000
d198,GA,24,15,194000
d198,GA,24,10,264000
d198,GA,24,5,2000000
d198,GA,25,15,136000
d198,GA,25,10,162000
d198,GA,25,5,318000
d198,GA,26,15,158000
d198,GA,26,10,204000
d198,GA,26,5,409000
d198,GA,27,15,170000
d198,GA,27,10,246000
d198,GA,27,5,2000000
d198,GA,28,15,190000
d198,GA,28,10,271000
d198,GA,28,5,2000000
d198,GA,29,15,171000
d198,GA,29,10,266000
d198,GA,29,5,2000000
d198,SA,0,15,645000
d198,SA,0,10,678000
d198,SA,0,5,798000
d198,SA,1,15,676000
d198,SA,1,10,703000
d198,SA,1,5,789000
d198,SA,2,15,629000
d198,SA,2,10,646000
d198,SA,2,5,702000
d198,SA,3,15,645000
d198,SA,3,10,667000
d198,SA,3,5,721000
d198,SA,4,15,671000
d198,SA,4,10,686000
d198,SA,4,5,754000
d198,SA,5,15,658000
d198,SA,5,10,686000
d198,SA,5,5,770000
d198,SA,6,15,640000
d198,SA,6,10,689000
d198,SA,6,5,776000
d198,SA,7,15,627000
d198,SA,7,10,693000
d198,SA,7,5,755000
d198,SA,8,15,645000
d198,SA,8,10,676000
d198,SA,8,5,730000
d198,SA,9,15,628000
d198,SA,9,10,662000
d198,SA,9,5,722000
d198,SA,10,15,619000
d198,SA,10,10,663000
d198,SA,10,5,726000
d198,SA,11,15,631000
d198,SA,11,10,662000
d198,SA,11,5,719000
d198,SA,12,15,656000
d198,SA,12,10,670000
d198,SA,12,5,747000
d198,SA,13,15,652000
d198,SA,13,10,668000
d198,SA,13,5,710000
d198,SA,14,15,651000
d198,SA,14,10,667000
d198,SA,14,5,720000
d198,SA,15,15,660000
d198,SA,15,10,689000
d198,SA,15,5,750000
d198,SA,16,15,652000
d198,SA,16,10,694000
d198,SA,16,5,748000
d198,SA,17,15,640000
d198,SA,17,10,692000
d198,SA,17,5,721000
d198,SA,18,15,645000
d198,SA,18,10,688000
d198,SA,18,5,728000
d198,SA,19,15,627000
d198,SA,19,10,676000
d198,SA,19,5,800000
d198,SA,20,15,630000
d198,SA,20,10,677000
d198,SA,20,5,721000
d198,SA,21,15,648000
d198,SA,21,10,690000
d198,SA,21,5,742000
d198,SA,22,15,635000
d198,SA,22,10,652000
d198,SA,22,5,715000
d198,SA,23,15,634000
d198,SA,23,10,664000
d198,SA,23,5,722000
d198,SA,24,15,641000
d198,SA,24,10,690000
d198,SA,24,5,752000
d198,SA,25,15,651000
d198,SA,25,10,687000
