instance,algorithm,seed,best_cost,optimal,gap_pct,wall_time
berlin52,GA,0,8292,7542,9.9443,0.992
berlin52,SA,0,8554,7542,13.4182,0.173
pr76,GA,0,109572,108159,1.3064,1.063
pr76,SA,0,109261,108159,1.0189,0.006
kroA100,GA,0,24275,21282,14.0635,1.443
kroA100,SA,0,22040,21282,3.5617,0.006
d198,GA,0,17476,15780,10.7478,3.007
d198,SA,0,16678,15780,5.6907,0.009
